iter	Logloss	Accuracy
346	0.4946626488	0.7612546655
347	0.494654933	0.7612683289
348	0.4946455722	0.76125922
349	0.494629863	0.7612614972
350	0.4946169183	0.7613343687
351	0.4946071586	0.7612797151
352	0.4945938875	0.7612819923
353	0.4945812856	0.7612933785
354	0.4945691208	0.7613115964
355	0.4945590984	0.7613047647
356	0.4945421257	0.7613480321
357	0.4945298167	0.7614277354
358	0.4945211459	0.7613821907
359	0.4945102425	0.7613844679
360	0.4944938534	0.7613685272
361	0.4944776918	0.7613844679
362	0.4944625006	0.7614026858
363	0.4944480927	0.7614004085
364	0.4944399156	0.7614140719
365	0.4944264835	0.7614095175
366	0.4944107997	0.7614322898
367	0.4944006238	0.7614095175
368	0.4943896868	0.7613981313
369	0.4943800084	0.7614186264
370	0.494367758	0.7614459532
371	0.4943591179	0.7613912996
372	0.4943495489	0.7614026858
373	0.4943371003	0.7614755573
374	0.4943257755	0.761443676
375	0.4943170959	0.7614231809
376	0.4943065954	0.7614231809
377	0.4942942704	0.7614596167
378	0.4942840367	0.7614641711
379	0.4942728019	0.7614755573
380	0.4942606425	0.7614345671
381	0.4942531604	0.7614391215
382	0.4942442398	0.7614322898
383	0.4942371222	0.7614368443
384	0.4942248704	0.7614368443
385	0.494210143	0.7614459532
386	0.4942025824	0.7614687256
387	0.4941867137	0.7615256565
388	0.4941653478	0.7615233792
389	0.4941512349	0.7615370426
390	0.4941404286	0.7615279337
391	0.4941276583	0.7615393199
392	0.4941191485	0.7615712012
393	0.4941073613	0.7615279337
394	0.4940947251	0.7615666467
395	0.4940824731	0.7615734784
396	0.4940713553	0.7615552605
397	0.4940607362	0.7615848646
398	0.4940444749	0.7615894191
399	0.4940294119	0.7615643695
400	0.4940215944	0.7616008052
401	0.4940130765	0.7616235776
402	0.4940025806	0.7616304093
403	0.4939922422	0.7616304093
404	0.4939851628	0.7616121914
405	0.4939793908	0.7616258548
406	0.4939648402	0.7615894191
407	0.4939544424	0.7616053597
408	0.4939481351	0.7616258548
409	0.4939305943	0.7616417955
410	0.4939202634	0.7615848646
411	0.4939116185	0.7615780329
412	0.4938916199	0.7616053597
413	0.4938805127	0.7615734784
414	0.4938667872	0.7616076369
415	0.4938550601	0.7616190231
416	0.4938443437	0.7616053597
417	0.493832591	0.7616713995
418	0.4938199103	0.7615916963
419	0.4938100699	0.7616008052
420	0.4937920506	0.7615962508
421	0.4937773691	0.7615848646
422	0.4937705993	0.7615848646
423	0.493762699	0.7615757556
424	0.4937446147	0.7615734784
425	0.493730404	0.7616190231
426	0.4937233117	0.7615894191
427	0.4937082903	0.7616349638
428	0.4936951954	0.7616304093
429	0.4936835605	0.7616622906
430	0.493674356	0.7616281321
431	0.4936654079	0.7616554589
432	0.4936579481	0.7616941719
433	0.4936470715	0.7616008052
434	0.4936414154	0.7615803101
435	0.4936281552	0.7616213003
436	0.49361938	0.7615916963
437	0.4936083035	0.7616008052
438	0.4935959346	0.7616645678
439	0.4935837018	0.7616395182
440	0.4935716913	0.7616099142
441	0.4935598629	0.7616691223
442	0.4935471836	0.7616736768
443	0.4935258281	0.761637241
444	0.4935146216	0.7616531816
445	0.493505387	0.7617670434
446	0.4934941264	0.7617602117
447	0.4934757269	0.7617465483
448	0.4934678326	0.761782984
449	0.4934606422	0.7617647662
450	0.4934505888	0.7617738751
451	0.4934362198	0.7618080336
452	0.4934199374	0.7618444694
453	0.4934067276	0.761937836
454	0.4933978872	0.7618763507
455	0.4933786685	0.761899123
456	0.49336851	0.7619310043
457	0.4933566193	0.761899123
458	0.4933394295	0.7618877369
459	0.4933267702	0.7618831824
460	0.4933179574	0.7618672417
461	0.4932991343	0.7618581328
462	0.4932813568	0.76186041
463	0.4932702277	0.7618262515
464	0.4932570037	0.7618399149
465	0.4932493472	0.7618831824
466	0.4932394776	0.7619332816
467	0.4932261232	0.7619287271
468	0.4932197452	0.7619218954
469	0.4932033408	0.7619719946
470	0.4931895724	0.761946945
471	0.4931801569	0.7619401133
472	0.4931691287	0.7619310043
473	0.4931584277	0.761946945
474	0.4931499963	0.7619310043
475	0.4931412912	0.7620175393
476	0.4931307504	0.7620494206
477	0.4931251204	0.7620425889
478	0.493111543	0.7620699157
479	0.4930987644	0.7621131831
480	0.4930863882	0.7620949653
481	0.4930744059	0.7621222921
482	0.4930632347	0.7621382327
483	0.4930357778	0.7621632823
484	0.4930236732	0.7621496189
485	0.4930132463	0.7621541734
486	0.4930019087	0.762179223
487	0.492994953	0.7621245693
488	0.492984527	0.7621951636
489	0.4929774099	0.7621632823
490	0.4929663156	0.7622202132
491	0.4929562343	0.7622498173
492	0.4929477667	0.762286253
493	0.4929378407	0.7622361538
494	0.4929269038	0.762217936
495	0.4929177778	0.7622452628
496	0.4929053671	0.762208827
497	0.492892458	0.7622680351
498	0.4928847011	0.7622315994
499	0.4928768201	0.762286253
500	0.4928678758	0.7622452628
