iter	Logloss	Accuracy
264	0.4922610596	0.7624001148
265	0.4922600516	0.7623932831
266	0.4922592616	0.7623864514
267	0.4922579446	0.7623864514
268	0.4922551063	0.7623568473
269	0.4922319073	0.7624137782
270	0.4922052548	0.7624479367
271	0.4921732751	0.7625208082
272	0.4921732631	0.7625208082
273	0.4921474343	0.7624206099
274	0.4921440641	0.7623955603
275	0.4921396861	0.7624046692
276	0.4921383313	0.7624092237
277	0.4921370818	0.7624137782
278	0.4921219772	0.7625481351
279	0.4921160552	0.7624866497
280	0.4920947033	0.7626301155
281	0.4920917355	0.7625936798
282	0.4920904161	0.7625982342
283	0.4920859536	0.7625731846
284	0.4920809377	0.7625731846
285	0.4920569977	0.7626118976
286	0.4920401014	0.7626369472
287	0.4920389537	0.7626437789
288	0.4920303063	0.7625914025
289	0.4920289233	0.7625936798
290	0.4920230906	0.7626437789
291	0.4920226068	0.7626802147
292	0.4920221531	0.7626824919
293	0.4919939781	0.7626688285
294	0.4919769351	0.7627462545
295	0.49197612	0.7627417
296	0.4919536344	0.7627280366
297	0.4919530746	0.7627280366
298	0.4919462462	0.7627621952
299	0.4919387982	0.7627599179
300	0.4919318401	0.7627485318
301	0.4919291166	0.762750809
302	0.4919290343	0.7627530862
303	0.4919258268	0.762712096
304	0.4919228792	0.7626824919
305	0.4919005722	0.7627826903
306	0.4918866469	0.7626574423
307	0.4918535258	0.7627303139
308	0.4918062475	0.7625686302
309	0.4918053541	0.7625686302
310	0.4917612568	0.7627280366
311	0.4917543783	0.7627553635
312	0.4917519793	0.7627576407
313	0.4917486025	0.7627485318
314	0.4917294102	0.762702987
315	0.491725164	0.7627234822
316	0.4916945503	0.7627690269
317	0.4916870716	0.7627690269
318	0.4916804424	0.7627826903
319	0.491674979	0.7627849675
320	0.4916500958	0.7628122943
321	0.4916430194	0.7629033837
322	0.4916292998	0.7629033837
323	0.4916288735	0.7628851659
324	0.4916272662	0.7629033837
325	0.4916210504	0.7628919976
326	0.4916192681	0.7628874431
327	0.4916132719	0.7628874431
328	0.4916108606	0.7628646707
329	0.491598853	0.7629375423
330	0.4915988451	0.7629170472
331	0.4915818507	0.7629102154
332	0.4915799548	0.7629102154
333	0.4915789262	0.7629124927
334	0.4915609271	0.7629398195
335	0.491560551	0.7629307106
336	0.491552121	0.7629375423
337	0.4915221711	0.7629717008
338	0.4915196041	0.762973978
339	0.4915062088	0.7629785325
340	0.4915030744	0.7629785325
341	0.4914989619	0.7629808097
342	0.4914874346	0.7629284333
343	0.4914718641	0.7629967504
344	0.491471682	0.7629967504
345	0.4914714962	0.7630035821
346	0.4914497013	0.7630354634
347	0.4914352493	0.7630263544
348	0.4914235342	0.7630650674
349	0.4914234227	0.7630696219
350	0.4914058852	0.7630377406
351	0.491404209	0.7630309089
352	0.491386577	0.7630946715
353	0.4913843428	0.7630764536
354	0.4913834493	0.7630878398
355	0.4913799338	0.7630946715
356	0.4913446175	0.7630855626
357	0.4913129201	0.7631037804
358	0.4913124641	0.7631015032
359	0.4913106878	0.7631037804
360	0.4913082955	0.7631174438
361	0.4912915978	0.7631333845
362	0.491279749	0.7631242756
363	0.4912796702	0.7631242756
364	0.4912778702	0.7631333845
365	0.4912778421	0.7631333845
366	0.4912756426	0.7631311073
367	0.4912752881	0.76312883
368	0.4912732678	0.763090117
369	0.4912704365	0.7630878398
370	0.4912670242	0.7630946715
371	0.4912608598	0.763090117
372	0.4912455193	0.7631037804
373	0.4912442451	0.7631083349
374	0.4912148439	0.7631698203
375	0.4912141174	0.7631720975
376	0.4911885721	0.7631356617
377	0.4911645898	0.763206256
378	0.4911641845	0.7632085333
379	0.4911607207	0.7632426918
380	0.4911496374	0.7632313056
381	0.4911483715	0.7631994243
382	0.4911439195	0.763206256
383	0.4911418458	0.7632426918
384	0.4911403909	0.7632404145
385	0.4911201317	0.7632586324
386	0.4911153593	0.7632563552
387	0.4910922124	0.7632768503
388	0.4910733713	0.7632563552
389	0.4910265735	0.763244969
390	0.4910229187	0.7632745731
391	0.4910075306	0.7632358601
392	0.4910072841	0.7632358601
393	0.4909756046	0.7632472463
394	0.4909672665	0.763244969
395	0.490966684	0.7632426918
396	0.4909660547	0.7632426918
397	0.4909418069	0.7632518007
398	0.4909399234	0.7632518007
399	0.490939849	0.7632518007
400	0.4909366745	0.7632108105
401	0.4909343713	0.7632426918
402	0.4909273652	0.7632426918
403	0.4909209536	0.7632518007
404	0.4909061103	0.7632426918
405	0.4909006138	0.7632859593
406	0.4908942653	0.7632882365
407	0.4908719896	0.7632586324
408	0.4908532529	0.7632791275
409	0.4908394777	0.7632859593
410	0.4908124	0.7633018999
411	0.4908037063	0.763322395
412	0.4907931782	0.7633383357
413	0.4907904616	0.7633406129
414	0.4907902654	0.7633383357
415	0.4907867888	0.7633428901
416	0.4907647553	0.7633246722
417	0.4907622334	0.7633451674
418	0.490756038	0.7633542763
419	0.4907397553	0.7634362568
420	0.4907309133	0.7634499202
421	0.4907291647	0.7634635836
422	0.4907103024	0.7635592275
423	0.4907071069	0.7635728909
424	0.4906952826	0.7635706136
425	0.4906919908	0.7635615047
426	0.4906869637	0.7635501185
427	0.4906618958	0.7635842771
428	0.490651818	0.7635979405
429	0.4906516031	0.7635979405
430	0.4906429912	0.7635364551
431	0.4906429712	0.7635341779
432	0.4906328632	0.7635182372
433	0.4906316229	0.7635182372
434	0.4906243568	0.7635273462
435	0.4906242726	0.7635273462
436	0.4906232422	0.7635227917
437	0.490616877	0.7635341779
438	0.4906142158	0.7635569502
439	0.4905932526	0.7635501185
440	0.4905845174	0.7635615047
441	0.490583371	0.7635683364
442	0.4905822713	0.7635751681
443	0.4905597893	0.7636207128
444	0.4905296585	0.7636161583
445	0.4905048985	0.763632099
446	0.4905039178	0.7636366535
447	0.490502016	0.7636366535
448	0.4904990097	0.763632099
449	0.4904966378	0.7636184356
450	0.4904941671	0.7636184356
451	0.4904929552	0.7636639803
452	0.4904775986	0.7636571486
453	0.4904703549	0.7635774454
454	0.4904648071	0.7635865543
455	0.4904611786	0.7636093266
456	0.4904583146	0.7636138811
457	0.490445046	0.7636639803
458	0.4904438421	0.7636753665
459	0.4904350421	0.7636343762
460	0.4904339387	0.7636548713
461	0.4904332195	0.7636571486
462	0.4904233599	0.7636252673
463	0.4903970644	0.7636913071
464	0.490393022	0.7636639803
465	0.4903889578	0.7636913071
466	0.4903823411	0.7636685348
467	0.4903809768	0.7636594258
468	0.4903800713	0.7636571486
469	0.4903783042	0.763709525
470	0.4903765361	0.7637140795
471	0.4903550474	0.7637049705
472	0.4903438908	0.7636662575
473	0.4903336271	0.7637277429
474	0.4903326259	0.7637300201
475	0.4903203789	0.7637345746
476	0.4902953449	0.7637072478
477	0.4902899135	0.7636981388
478	0.4902879578	0.7637527925
479	0.4902845024	0.7637527925
480	0.4902817119	0.7637619014
481	0.4902791771	0.7637596242
482	0.490278081	0.7637573469
483	0.4902691167	0.763786951
484	0.4902650354	0.7637801193
485	0.4902509345	0.7638302185
486	0.4902504468	0.7638279412
487	0.4902409615	0.7638507136
488	0.4902388097	0.7638712087
489	0.4902382642	0.7638120006
490	0.4902372401	0.7638120006
491	0.4902331581	0.7638507136
492	0.4902129362	0.7638848721
493	0.4902036588	0.7639349713
494	0.4901966635	0.7639463574
495	0.4901875523	0.7639076445
496	0.4901868544	0.7639076445
497	0.4901832285	0.7639941794
498	0.4901821923	0.7639941794
499	0.4901817646	0.7639987339
